I	/aɪ/	pron.(主格)我
ice	/ais/	n.冰;冰冻甜食vt.冰冻,使成冰
ice-cream	/'aiskri:m/	n.冰淇淋
idea	/ai'diə,'ai'diə/	n.想法,念头;概念,观念;意见,主意
ideal	/ai'diəl/	a.理想的;空想的;理想主义的;唯心的n.理想
identical	/ai'dentikəl/	a.(to.with)同一的,同样的
identification	/ai,dentifi'keiʃən/	n.识别,鉴别;证件;认同
identify	/ai'dentifai/	v.识别,鉴别;(with)把…和…看成一样
identity	/ai'dentəti/	n.身份;本体;特征;同一(性);一致;国籍;等式
ideology	/,aidi'ɔlədʒi,,idi-/	n.意识形态,(政治或社会的)思想意识
idiom	/'idiəm/	n.习语;成语方言;(艺术等的)风格,特色
idiot	/'idiət/	n.白痴;极蠢的人;笨蛋
idle	/'aidl/	a.空闲的,闲置的;懒散的v.空费,虚度
if	/ɪf/	conj.(用于连接宾语从句)是否;是不是
ignite	/iɡ'nait/	v.点火,引燃
ignorance	/'iɡnərəns/	n.无知,愚昧;不知道
ignorant	/'iɡnərənt/	a.无知的,愚昧的;不知道的
ignore	/iɡ'nɔ:/	v.不理,不顾,忽视
ill	/il/	a.有病的;坏的;恶意的ad.坏地;不利地
illegal	/ɪˈliːɡl/	a.不合法的,非法的
illiterate	/i'litərət/	a.文盲的,未受教育的
illness	/'ilnis/	n.病,疾病
illuminate	/i'lju:mineit/	vt.照亮,照明;用灯光装饰;说明,阐释
illusion	/i'lju:ʒən/	n.幻想,错误的观念;错觉,幻觉,假象
illustrate	/'iləstreit/	v.举例说明,阐明;图解,加插图
illustration	/,ilə'streiʃən/	n.说明;例证,插图;举例说明
image	/'imidʒ/	n.形象,声誉;印象;像;形象的描述,比喻
imaginary	/i'mædʒinəri/	a.想象的,虚构的
imagination	/i,mædʒi'neiʃən/	n.想象(力);空想,幻觉;想象出来的事物
imaginative	/i'mædʒinətiv/	a.富有想象力的,爱想象的
imagine	/i'mædʒin/	v.想象,设想,料想
imitate	/'imiteit/	v.模仿,仿效;仿造,伪造
imitation	/,imi'teiʃən/	n.模仿,仿效;仿制;仿造品
immediate	/i'mi:diət/	a.立即的,即时的;直接的,最接近的
immense	/i'mens/	a.广大的,巨大的;/口/极好的
immerse	/i'mə:s/	v.使沉浸在;使浸没
immigrant	/'imiɡrənt/	a.(从国外)移来的,移民的n.移民,侨民
immune	/i'mju:n/	a.免疫的,有免疫力的;不受影响的;豁免的
impact	/'impækt,im'pækt/	n.冲击,碰撞;影响v.影响;挤入,压紧
impair	/im'pεə/	v.损害,损伤;削弱,减少
impart	/im'pɑ:t/	vt.传授,给予;告知,通知
impatient	/im'peiʃənt/	a.不耐烦的,急躁的
imperative	/im'perətiv/	n.命令;需要;规则;祈使语气a.强制的;紧急的
imperial	/im'piəriəl/	a.帝国的,帝王的;(度量衡)英制的
impetus	/ˈɪmpɪtəs/	n.推动(力),促进
implement	/'impliment/	n.(pl.)工具,器具v.贯彻,实现
implication	/,impli'keiʃən/	n.含意,暗示,暗指;牵连
implicit	/im'plisit/	a.含蓄的;(in)固有的;无疑问的;绝对的
imply	/im'plai/	v.意指,含…意思,暗示
import	/im'pɔ:t,'impɔ:t/	v./n.进口,输入,(pl.)进口商品;要旨,含意
importance	/im'pɔ:təns/	n.重要,重要性
important	/im'pɔ:tənt/	a.重要的,重大的;有地位的,有权力的
impose	/im'pəuz/	v.征(税);(on)把…强加给
impossible	/im'pɔsəbl/	a.不可能的;难以忍受的,很难对付的
impress	/im'pres,'impres/	v.(on)印,盖印;留下印象,引人注目
impression	/im'preʃən/	n.印象,感想;盖印,压痕
impressive	/im'presiv/	a.给人深刻印象的,感人的
improve	/im'pru:v/	v.改善,改进,增进;好转,进步
improvement	/im'pru:vmənt/	n.改进,进步,增进;改进措施
impulse	/'impʌls/	v.推动n.推动;冲动,刺激
in	/in/	prep.在…里(内,上);用…(表示)ad.进,入
incentive	/in'sentiv/	n.刺激;动力;鼓励;诱因;动机
inch	/intʃ/	n.英寸
incidence	/'insidəns/	n.影响程度,影响范围;发生率
incident	/'insidənt/	n.事件,事变
incidentally	/,insi'dentəli/	ad.附带地,顺便提及
incline	/in'klain/	v.(使)倾斜;(使)倾向于n.斜坡,斜面
include	/in'klu:d/	v.包括,包含,计入
inclusive	/in'klu:siv/	a.(of)包括的,包含的;范围广的
income	/'inkʌm/	n.收入,收益,所得
incorporate	/in'kɔ:pəreit/	v.合并,纳入,结合a.合并的
increase	/in'kri:s,'inkri:s/	v./n.增加,增长,增进
increasingly	/in'kri:siŋli/	ad.不断增加地,日益
incredible	/in'kredəbl/	a.不可相信的,惊人的,不可思议的
incur	/in'kə:/	v.招致,惹起,遭受
indeed	/in'di:d/	ad.确实,实在;真正地,多么
independence	/,indi'pendəns/	n.独立,自主
independent	/,indi'pendənt/	a.(of)独立的,自主的
index	/'indeks/	n.(pl.indexes,indices)索引v.附以索引
indicate	/'indikeit/	v.指出,指示;表明,暗示
indication	/,indi'keiʃən/	n.指出,指示;表明,暗示
indicative	/in'dikətiv/	a.(of)指示的,暗示的
indifferent	/in'difərənt/	a.冷漠的,不关心的,不积极的
indignant	/in'diɡnənt/	a.愤慨的,愤慨不平的
indignation	/,indiɡ'neiʃən/	n.愤怒,愤慨
indispensable	/,indis'pensəbl/	a.(to,for)必不可少的,必需的
individual	/,indi'vidjuəl,-dʒəl/	a.个人的,单独的;独特的n.个人,个体
indoor	/'indɔ:/	a.室内的,户内的
induce	/in'dju:s,in'du:s/	v.引诱,劝使;引起,导致;感应
indulge	/in'dʌldʒ/	v.放任,纵容,沉溺;使(自己)纵情享受
industrial	/in'dʌstriəl/	a.工业的,产业的
industrialize	/in'dʌtriəlaiz/	v.(industrialise)(使)工业化
industry	/'indəstri/	n.工业,产业;勤劳,勤奋
inertia	/i'nə:ʃiə/	n.不活动,惰性;惯性
inevitable	/in'evitəbl/	a.不可避免的,必然发生的
infant	/'infənt/	n.婴儿,幼儿
infect	/in'fekt/	vt.传染,感染;影响(思想等)
infectious	/in'fekʃəs/	a.传染的,传染性的,有感染力的
infer	/in'fə:/	v.推论,推断
inference	/'infərəns/	n.推论,推理,推断;结论
inferior	/in'fiəriə/	a.下等的,下级的;劣等的,差的n.下级,晚辈
infinite	/'infinət/	a.无限的,无穷的n.无限
inflation	/in'fleiʃən/	n.通货膨胀
influence	/'influəns/	n.(on)影响,感化;势力,权势v.影响,感化
influential	/,influ'enʃəl/	a.有影响的;有权势的
inform	/in'fɔ:m/	v.(of,about)通知,告诉,报告;告发,告密
information	/,infə'meiʃən/	n.通知,报告;情报,资料,消息;信息
infrared	/,infrə'red/	a./n.红外线(的)
infrastructure	/'infrə,strʌktʃə/	n.基础结构,基础设施
ingenious	/in'dʒi:njəs/	a.机敏的;有独创性的;精致的;精巧制成的
ingredient	/in'ɡri:diənt/	n.(混合物的)组成部分,配料;成份,要素
inhabit	/in'hæbit/	vt.居住于,存在于;栖息于
inhabitant	/in'hæbitənt/	n.居民,住户
inhale	/in'heil/	v.吸入(气体等),吸(烟)
inherent	/in'hiərənt/	a.固有的,内在的,天生的
inherit	/in'herit/	vt.继承(金钱等),经遗传而得(性格、特征)
inhibit	/in'hibit/	vt.抑制,约束
initial	/i'niʃəl/	a.最初的,开头的;词首的n.词首大写字母
initiate	/i'niʃieit,i'niʃiət,-eit/	vt.开始,创始,发动;启蒙,使入门;引入
initiative	/i'niʃiətiv,-ʃətiv/	a.创始的,起始的n.第一步,创始,主动精神
inject	/in'dʒekt/	vt.注射(药液等);注入
injure	/'indʒə/	v.损害,损伤,伤害
injury	/'indʒəri/	n.伤害,损害
ink	/iŋk/	n.墨水,油墨
inland	/'inlənd,-lænd/	a./ad.国内,内地,内陆
inlet	/'inlet,-lit,in'let/	n.水湾,小湾;进口,入口
inn	/in/	n.小旅馆,客栈
inner	/'inə/	a.内部的,里面的;内心的
innocent	/'inəsənt/	a.(of)清白的,无罪的;无害的;单纯的,无知的
